# frankensim Level-B cross-code reference manifest v1
# generated by tools/vvref/solve_skfem.py (pinned by tools/vvref/uv.lock)
# columns: kind	case_id	field...	value
case_meta	thermal-b-block-source-robin-v1	deck_blake3	8cb3350b2a6ff2a3f7eddb319ed1da5e3ecaf2152158cc2e284ce19e2437f649
case_meta	thermal-b-block-source-robin-v1	external_code	scikit-fem 11.0.0
case_meta	thermal-b-block-source-robin-v1	linear_solver	scipy 1.16.0 spsolve/SuperLU
case_meta	thermal-b-block-source-robin-v1	mesh_blake3	7a766918bc5f16ea4ca3a30b9c4c8ea75a3e218ce19d55977a1c62ed756b017d
case_meta	thermal-b-block-source-robin-v1	numpy	2.3.1
case_meta	thermal-b-block-source-robin-v1	picard_iterations	1
case_meta	thermal-b-block-source-robin-v1	platform	arm64
case_meta	thermal-b-block-source-robin-v1	python	3.12.12
case_meta	thermal-b-block-source-robin-v1	self_check	pass
case_meta	thermal-b-block-source-robin-v1	t_max_k	317.37693714823473
case_meta	thermal-b-block-source-robin-v1	t_min_k	312.8902303716394
spec_echo	thermal-b-block-source-robin-v1	mesh.counts.x	8.0
spec_echo	thermal-b-block-source-robin-v1	mesh.extent.x	0.08
spec_echo	thermal-b-block-source-robin-v1	mesh.counts.y	5.0
spec_echo	thermal-b-block-source-robin-v1	mesh.extent.y	0.05
spec_echo	thermal-b-block-source-robin-v1	mesh.counts.z	3.0
spec_echo	thermal-b-block-source-robin-v1	mesh.extent.z	0.03
spec_echo	thermal-b-block-source-robin-v1	material.isotropic.k	15.0
spec_echo	thermal-b-block-source-robin-v1	source.poly_xy.q0	200000.0
spec_echo	thermal-b-block-source-robin-v1	bc.x-lo.axis	0.0
spec_echo	thermal-b-block-source-robin-v1	bc.x-lo.target	0.0
spec_echo	thermal-b-block-source-robin-v1	bc.x-lo.robin.h	25.0
spec_echo	thermal-b-block-source-robin-v1	bc.x-lo.robin.t_inf	300.0
spec_echo	thermal-b-block-source-robin-v1	bc.x-hi.axis	0.0
spec_echo	thermal-b-block-source-robin-v1	bc.x-hi.target	0.08
spec_echo	thermal-b-block-source-robin-v1	bc.x-hi.robin.h	25.0
spec_echo	thermal-b-block-source-robin-v1	bc.x-hi.robin.t_inf	300.0
spec_echo	thermal-b-block-source-robin-v1	bc.y-lo.axis	1.0
spec_echo	thermal-b-block-source-robin-v1	bc.y-lo.target	0.0
spec_echo	thermal-b-block-source-robin-v1	bc.y-lo.robin.h	25.0
spec_echo	thermal-b-block-source-robin-v1	bc.y-lo.robin.t_inf	300.0
spec_echo	thermal-b-block-source-robin-v1	bc.y-hi.axis	1.0
spec_echo	thermal-b-block-source-robin-v1	bc.y-hi.target	0.05
